Cayuga,Surface Segmentation,Underlying Form,Labeled Segmentation,Gloss,notes
a:dyagododa:hdęˀ,a:-d-yago-doda-:-hd-ę-ˀ,a:-d-yago-adodar-a-hd-ę-ˀ,opt-cis-3fo-trip-caus-dat-punc,they should be tripped,
a:gadahseht,a:-g-adahseht-.,a:-g-adahsehd-.,opt-1sa-hide-punc,I should hide,
a:gagwe:niˀ,a:-ga-gwe:ni-ˀ,a:-ga-gweni-ˀ,opt-3nsa-be.possible-punc,it should be possible,
a:hęnihna:do:k,a:-h-ęnihna:do:g-.,a:-ha-ęnihnadog-.,opt-3msa-perceive-punc,he should perceive,
a:knǫ̲hweˀ,a:-k-nǫ̲hwe-ˀ,a:-k-nǫhwe-ˀ,opt-1sa-like-punc,I should like,
a:wa:dǫˀ,a:-w-a:dǫˀ-.,a:-w-adǫˀ-.,opt-3nsa-become-punc,it should become,
a:yodǫˀǫhę:k,a:-yo-dǫˀ-ǫh-ę:k,a:-yo-adǫˀ-ǫh-ę:k,opt-3nsp-become-stat-cont,it should become,
a:yoihwadadyeˀ,a:-yo-ihw-a-d-a-dye-ˀ,a:-yo-rihw-a-d-a-dye-ˀ,opt-3nso-matter-j-stand-j-prog-stat,the matter will be standing,
a:yǫnǫhdǫnyǫhak,a:-yǫ-nǫhdǫ-nyǫ-h-ak,a:-ye-ęnǫhdǫ-nyǫ-h-ak,opt-3fsa-know-dist-stat-cont,they should thnk,
a:yǫtga̲htoˀ,a:-yǫ-tga̲ht-oˀ,a:-ye-atgahtw-ˀ,opt-3fa-see-punc,they should see,
aedwęnǫhdǫnyǫha:k,ae-dw-ęnǫhdǫ-nyǫ-h-a:k,a:-dwa-ęnǫhdǫ-nyǫ-h-ak,opt-1pia-know-dist-stat-cont,we should think,
aedyǫ̲hwa:dęˀ,ae-dy-ǫ̲hwa:d-ęˀ,a:-dwa-ǫhwad-ęˀ,opt-1pia-indicate-punc,we should point it out,
aeswaęnaędaˀk,ae-swa-ęn-a-ęd-aˀk,a:-swa-ręn-a-yęd-aˀk,opt-2p-song-j-have-stat.cont,you all should have songs,
aeswaęnaędaˀk,ae-swa-ęn-a-ęd-a-ˀk-.,a:-swa-ręn-a-yęd-a-ˀk,opt-2p-song-j-have-j-caus-punc,you all should get songs,
a̲hęnǫhdǫ:nyǫ:goˀ,a̲-h-ęnǫhdǫ:-nyǫ:-go-ˀ,aˀ-ha-ęnǫhdǫ-nyǫ-gw-ˀ,fact-3msa-know-dist-rev-punc,he thought,
aˀdwadahsǫdǫ:k,aˀ-d-w-ad-ahsǫd-ǫ-:k-.,aˀ-de-w-ad-ahsǫd-a-rik-.,fact-dual-3nso-sr-shade-j-envelop-punc,it became enveloped in shade,
a̲ˀdyetinǫhǫnyǫ:ˀ,a̲ˀ-d-yeti-nǫhǫnyǫ-:ˀ,aˀ-de-yeti-nǫhǫnyǫ-:ˀ,fact-dual-1ns>3p-thank-punc,we thank them,
a̲ˀeˀnigǫhage:nheˀ,a̲ˀ-e-ˀnigǫh-a-ge:nhe-ˀ,aˀ-ye-ˀnigǫhr-a-genhe-ˀ,fact-3fsa-mind-j-quarrel-punc,they are of two minds,
a̲ˀga:gwe:niˀ,a̲ˀ-ga:-gwe:ni-ˀ,aˀ-ga-gweni-ˀ,fact-3nsa-be.possible-punc,it was possible,
a̲ˀga:yę:daˀ,a̲ˀ-ga:-yę:d-aˀ,aˀ-ga-yęd-a-ˀ-0,fact-3nsa-lie-punc,it was gotten,
a̲ˀgęnadrohe:k,a̲ˀ-gęn-ad-rohe:k-.,aˀ-gęn-adrohek-.,fact-3npa-sr-gather.together-punc,they gathered together,
a̲ˀhadadrihwagwe:nyaˀs,a̲ˀ-h-adad-rihw-a-gwe:ny-a-ˀs-.,aˀ-ha-adad-rihw-a-gweni-a-ˀs-0,fact-3msa-refl-matter-j-be.possible-j-caus-punc,he was able to complete the matter,
a̲ˀhadewayę:nǫ:niˀ,a̲ˀ-h-ade-wayę:n-ǫ:ni-ˀ,aˀ-ha-ade-wayęn-ǫni-ˀ,fact-3msa-sr-custom-make-punc,he did it carefully,
a̲ˀhai̲hwa:yi:hs,a̲ˀ-ha-i̲hw-a:-yi:-hs-.,aˀ-ha-rihw-a-yeri-hsd-0,fact-3msa-matter-j-be.right-caus-punc,he fulfilled,
a̲ˀhaǫ̲hyagęˀtak,a̲ˀ-ha-ǫ̲hy-a-gęˀt-ak,aˀ-ha-rǫhy-a-gęˀd-ha-k,fact-3msa-sky-j-be.visible-hab.cont,he worked hard,
a̲ˀhayagęh,a̲ˀ-ha-yagę-h-.,aˀ-ha-yagę-h-0,fact-3msa-come.out-caus-punc,he took out,
a̲ˀtadawę:nyeˀ,a̲ˀ-t-a-d-awę:nye-ˀ,aˀ-de-ha-ad-awęnye-ˀ,fact-dual-3msa-sr-roam-punc,he.roamed.about,
a̲ˀtaihwayętwaht,a̲ˀ-t-a-ihw-a-yętw-a-ht-.,aˀ-de-ha-rihw-a-yętw-a-hd-0,fact-dual-3msa-matter-j-plant-j-caus-punc,he planted the message,
a̲ˀtshedwanǫhǫnyǫ:ˀ,a̲ˀ-t-shedwa-nǫhǫnyǫ-:ˀ,aˀ-de-shedwa-nǫhǫnyǫ-:ˀ,fact-dual-1pi>3ms-thank-punc,we thank him,
daetihweˀnǫ:niˀ,d-a-eti-hweˀn-ǫ:ni-ˀ,d-aˀ-yeti-hweˀn-ǫni-ˀ,dual-fact-roll-make-punc,we roll them together,
daǫgyanęhę:wiˀ,d-a-ǫg-yan-ęhę:wi-ˀ,d-aˀ-ǫg-yan-ęhawi-ˀ,dual-fact-3fs>1s-footstep-carry-punc,they should follow me,
dęswa:dęˀ,d-ę-swa-:d-ę-ˀ,de-ę-swa-rad-ę-ˀ,dual-fut-2p-perch-punc,you will all be perched,
dęswa:dęˀ,d-ę-swa-:d-ęˀ,de-ę-swa-rad-ęˀ,dual-fut-2p-perch-punc,you  all will perch,
detowęnitgęˀǫh,de-t-o-węn-itgęˀ-ǫh,de-d-ho-węn-itgęˀ-ǫh,dual-cis-3mso-voice-emerge-stat,he spoke out again,
dęyago̲hsnyeˀǫhǫ:dyeˀ,d-ę-yago̲-hsnye-ˀǫh-ǫ:-dye-ˀ,de-ę-yago-hnyeˀ-ǫh-a-dye-ˀ,dual-fut-3fso-care.for-stat-j-prog-stat,she will be looking after them,
dęyǫkihsnyeˀk,d-ę-yǫki-hsnye-ˀ-k,de-ę-yǫki-hsnyeˀ-k,dual-fut-3p>1p-care.for-stat-cont,they will care for us,maybe snye
dęyowa:węnyeha:k,d-ę-yo-wa-:węnye-h-a:k,de-ę-yo-war-awęnye-h-ak,dual-fut-3nso-wind-roam-stat-cont,there will be wind,
